date,خرید_دلار,فروش_دلار,دلار_فردایی
2023-07-12,88,64,0.0
2023-07-13,73,70,0.0
2023-07-14,77,0,0.0
2023-07-15,55,55,0.0
2023-07-16,70,50,0.0
2023-07-17,55,63,0.0
2023-07-18,47,62,0.0
2023-07-19,68,55,0.0
2023-07-20,59,80,0.0
2023-07-21,62,34,0.0
2023-07-22,58,49,0.0
2023-07-23,67,58,0.0
2023-07-24,76,51,0.0
2023-07-25,58,51,0.0
2023-07-26,64,51,0.0
2023-07-27,52,38,0.0
2023-07-28,56,51,0.0
2023-07-29,78,81,0.0
2023-07-30,92,56,0.0
2023-07-31,82,66,0.0
2023-08-01,73,74,0.0
2023-08-02,93,62,0.0
2023-08-03,61,58,100.0
2023-08-04,64,76,0.0
2023-08-05,94,100,0.0
2023-08-06,77,57,0.0
2023-08-07,81,57,0.0
2023-08-08,63,82,0.0
2023-08-09,80,64,0.0
2023-08-10,59,57,0.0
2023-08-11,84,52,0.0
2023-08-12,98,61,0.0
2023-08-13,100,64,0.0
2023-08-14,77,78,0.0
2023-08-15,70,61,0.0
2023-08-16,63,49,0.0
2023-08-17,61,74,0.0
2023-08-18,61,42,0.0
2023-08-19,72,52,0.0
2023-08-20,65,54,0.0
2023-08-21,74,59,0.0
2023-08-22,76,64,0.0
2023-08-23,68,64,0.0
2023-08-24,73,57,0.0
2023-08-25,61,46,0.0
2023-08-26,70,92,0.0
2023-08-27,74,56,0.0
2023-08-28,57,43,0.0
2023-08-29,52,50,0.0
2023-08-30,66,48,0.0
2023-08-31,40,67,0.0
2023-09-01,48,37,0.0
2023-09-02,58,59,0.0
2023-09-03,54,45,0.0
2023-09-04,78,53,0.0
2023-09-05,80,65,0.0
2023-09-06,48,0,0.0
2023-09-07,61,64,0.0
2023-09-08,60,74,0.0
2023-09-09,52,63,0.0
2023-09-10,65,63,0.0
2023-09-11,59,76,0.0
2023-09-12,48,43,0.0
2023-09-13,57,49,0.0
2023-09-14,46,35,0.0
2023-09-15,43,46,0.0
2023-09-16,43,34,0.0
2023-09-17,61,61,0.0
2023-09-18,61,61,0.0
2023-09-19,65,59,0.0
2023-09-20,53,57,0.0
2023-09-21,40,40,0.0
2023-09-22,40,65,0.0
2023-09-23,54,61,0.0
2023-09-24,44,65,0.0
2023-09-25,47,63,0.0
2023-09-26,50,71,0.0
2023-09-27,55,55,0.0
2023-09-28,78,43,0.0
2023-09-29,40,0,0.0
2023-09-30,45,41,0.0
2023-10-01,67,62,0.0
2023-10-02,45,40,0.0
2023-10-03,24,0,0.0
2023-10-04,43,72,0.0
2023-10-05,51,45,0.0
2023-10-06,42,37,0.0
2023-10-07,52,60,0.0
2023-10-08,97,70,0.0
2023-10-09,96,95,87.0
2023-10-10,79,75,0.0
2023-10-11,87,69,0.0
2023-10-12,77,56,0.0
2023-10-13,49,0,0.0
2023-10-14,91,71,0.0
2023-10-15,88,74,94.0
2023-10-16,94,66,0.0
2023-10-17,60,65,0.0
2023-10-18,84,82,0.0
2023-10-19,78,46,0.0
2023-10-20,67,0,0.0
2023-10-21,72,63,0.0
2023-10-22,92,74,0.0
2023-10-23,60,67,0.0
2023-10-24,86,96,0.0
2023-10-25,68,79,0.0
2023-10-26,55,69,0.0
2023-10-27,55,52,0.0
2023-10-28,68,67,0.0
2023-10-29,86,100,0.0
2023-10-30,81,42,0.0
2023-10-31,100,83,0.0
2023-11-01,85,0,0.0
2023-11-02,77,67,0.0
2023-11-03,44,59,0.0
2023-11-04,87,75,0.0
2023-11-05,69,53,0.0
2023-11-06,83,54,0.0
2023-11-07,81,91,0.0
2023-11-08,99,56,100.0
2023-11-09,69,51,0.0
2023-11-10,46,52,0.0
2023-11-11,75,65,0.0
2023-11-12,57,49,0.0
2023-11-13,70,54,0.0
2023-11-14,71,56,0.0
2023-11-15,84,74,0.0
2023-11-16,39,88,0.0
2023-11-17,61,54,0.0
2023-11-18,76,0,0.0
2023-11-19,76,66,0.0
2023-11-20,76,63,0.0
2023-11-21,64,50,0.0
2023-11-22,69,80,0.0
2023-11-23,73,45,0.0
2023-11-24,69,0,0.0
2023-11-25,95,88,0.0
2023-11-26,69,66,0.0
2023-11-27,79,66,0.0
2023-11-28,62,62,0.0
2023-11-29,68,88,0.0
2023-11-30,61,52,0.0
2023-12-01,58,0,0.0
2023-12-02,67,41,0.0
2023-12-03,70,74,0.0
2023-12-04,52,71,0.0
2023-12-05,56,49,0.0
2023-12-06,55,57,0.0
2023-12-07,52,43,0.0
2023-12-08,55,63,0.0
2023-12-09,78,66,0.0
2023-12-10,71,88,0.0
2023-12-11,64,64,0.0
2023-12-12,77,56,0.0
2023-12-13,48,38,0.0
2023-12-14,55,42,0.0
2023-12-15,36,38,0.0
2023-12-16,57,64,0.0
2023-12-17,49,38,0.0
2023-12-18,54,70,0.0
2023-12-19,62,50,0.0
2023-12-20,67,0,0.0
2023-12-21,56,0,0.0
2023-12-22,69,0,0.0
2023-12-23,55,80,0.0
2023-12-24,91,79,0.0
2023-12-25,74,58,0.0
2023-12-26,70,69,0.0
2023-12-27,77,0,0.0
2023-12-28,77,69,0.0
2023-12-29,53,47,0.0
2023-12-30,86,66,0.0
2023-12-31,53,59,0.0
2024-01-01,67,68,0.0
2024-01-02,75,40,0.0
2024-01-03,69,69,0.0
2024-01-04,90,62,0.0
2024-01-05,62,42,0.0
2024-01-06,83,86,0.0
2024-01-07,83,77,0.0
2024-01-08,91,79,0.0
2024-01-09,72,90,0.0
2024-01-10,51,31,0.0
2024-01-11,37,45,0.0
2024-01-12,51,50,0.0
2024-01-13,66,57,0.0
2024-01-14,51,71,0.0
2024-01-15,67,51,0.0
