date,خرید_دلار,فروش_دلار,دلار_فردا,نرخ_ارز,سکه_طلا,صرافی,تورم
2023-07-15,53,45,0,62,42,71,71
2023-07-16,63,62,0,56,45,70,84
2023-07-17,57,61,0,62,46,70,77
2023-07-18,46,50,0,59,44,61,65
2023-07-19,70,65,0,54,39,65,77
2023-07-20,48,100,0,49,35,65,72
2023-07-21,54,36,0,26,23,42,84
2023-07-22,52,68,0,62,40,72,79
2023-07-23,62,50,0,56,47,64,74
2023-07-24,69,81,0,62,50,72,93
2023-07-25,53,61,0,60,48,65,74
2023-07-26,65,63,0,58,37,68,71
2023-07-27,49,50,0,32,22,43,82
2023-07-28,45,54,0,24,19,40,84
2023-07-29,66,80,0,61,48,74,69
2023-07-30,83,48,0,58,42,76,80
2023-07-31,75,82,0,56,46,77,75
2023-08-01,75,72,72,68,52,79,85
2023-08-02,77,48,0,39,38,63,81
2023-08-03,50,60,54,38,32,52,70
2023-08-04,53,80,63,24,25,46,87
2023-08-05,87,94,0,72,51,87,81
2023-08-06,71,63,0,70,44,85,75
2023-08-07,75,50,0,56,41,73,69
2023-08-08,57,68,0,53,41,76,76
2023-08-09,71,75,0,47,37,77,61
2023-08-10,50,77,0,51,34,67,88
2023-08-11,75,63,75,32,23,49,73
2023-08-12,87,85,49,85,51,93,80
2023-08-13,90,63,0,74,47,84,70
2023-08-14,72,69,0,69,41,79,73
2023-08-15,68,67,0,60,37,79,80
2023-08-16,58,32,0,51,34,69,83
2023-08-17,52,75,0,54,32,65,66
2023-08-18,48,77,0,28,19,49,86
2023-08-19,63,46,0,70,37,81,63
2023-08-20,61,49,0,56,37,75,63
2023-08-21,63,66,0,58,38,78,80
2023-08-22,70,71,0,60,41,74,74
2023-08-23,63,85,0,52,39,78,62
2023-08-24,62,43,0,47,33,63,76
2023-08-25,52,59,0,25,21,42,81
2023-08-26,51,83,0,49,35,76,80
2023-08-27,72,62,0,58,38,74,90
2023-08-28,49,52,0,54,33,71,100
