date,خرید_دلار,فروش_دلار,دلار_فردا,نرخ_ارز,سکه_طلا,صرافی_آنلاین,تورم,انتخابات,اعتراضات,تحریم,برجام,رئیس‌جمهور,انفجار,ترور,حمله,جنگ
2023-07-17,3,2,0,16,47,0,14,19,13,8,2,0,4,2,13,43
2023-07-18,4,2,0,16,44,0,13,16,10,8,2,0,5,2,13,47
2023-07-19,5,2,0,15,40,0,14,15,14,8,2,0,5,2,14,43
2023-07-20,4,2,0,14,35,2,14,13,10,9,2,0,5,3,16,50
2023-07-21,4,2,0,7,23,0,17,13,8,10,2,0,4,3,21,53
2023-07-22,4,1,0,17,40,0,16,14,10,8,2,0,4,2,16,44
2023-07-23,5,1,0,15,47,0,15,24,6,7,2,0,5,3,20,45
2023-07-24,5,2,0,17,50,0,18,20,10,11,3,0,4,4,19,45
2023-07-25,3,2,0,15,49,0,15,15,7,9,2,0,5,3,17,46
2023-07-26,4,1,0,16,39,0,14,11,6,7,2,0,4,3,17,49
2023-07-27,3,1,0,9,21,0,16,13,8,9,2,0,7,2,21,62
2023-07-28,4,2,0,6,19,0,16,15,12,10,2,0,6,3,22,63
2023-07-29,5,2,0,16,48,0,13,15,6,7,2,0,4,2,19,48
2023-07-30,6,2,0,16,42,0,15,21,5,9,2,0,5,2,19,45
2023-07-31,5,2,0,16,47,0,14,17,5,7,2,0,5,3,18,45
2023-08-01,6,2,1,18,52,0,16,16,5,10,2,0,5,2,16,43
2023-08-02,6,2,0,11,39,0,16,17,7,7,2,0,7,2,19,47
2023-08-03,5,2,0,10,33,0,14,23,7,8,2,0,7,3,19,46
2023-08-04,4,2,1,7,25,0,17,18,7,10,2,0,6,3,16,51
2023-08-05,6,3,1,19,51,0,16,23,6,7,2,0,5,2,16,41
2023-08-06,5,2,0,18,45,0,14,27,6,5,2,0,6,2,15,41
2023-08-07,5,2,0,15,42,2,14,35,5,9,2,0,8,2,15,41
2023-08-08,4,1,0,14,42,0,15,31,7,8,2,0,5,3,18,42
2023-08-09,5,2,0,13,38,0,11,28,6,8,2,0,4,2,14,42
2023-08-10,4,2,0,13,34,0,18,32,4,6,2,0,5,3,15,43
2023-08-11,6,2,0,8,23,0,13,37,6,10,2,0,5,4,19,47
2023-08-12,6,2,0,22,51,0,16,37,5,10,2,0,4,3,13,39
2023-08-13,6,2,1,19,49,0,14,42,8,8,2,0,5,8,100,43
2023-08-14,5,2,0,18,41,0,13,30,6,8,2,0,5,9,79,42
2023-08-15,4,2,0,15,36,0,15,24,8,7,2,0,5,5,42,40
2023-08-16,4,2,0,13,35,0,16,21,8,7,2,0,4,4,26,41
